State,County,Website,Population,Coordinates,Wikidata ID
Texas,Leon County,http://www.co.leon.tx.us/,16742,Point(-96.0 31.3),Q27021
Texas,Lee County,http://www.co.lee.tx.us,16628,Point(-96.96 30.31),Q27025
Texas,Robertson County,http://www.co.robertson.tx.us,16486,Point(-96.51 31.03),Q26506
Texas,Pecos County,http://www.co.pecos.tx.us,15697,Point(-102.72 30.78),Q114459
Texas,Karnes County,http://www.co.karnes.tx.us,15081,Point(-97.86 28.91),Q111385
Texas,Nolan County,http://www.co.nolan.tx.us,15037,Point(-100.4 32.31),Q114026
Texas,Jackson County,http://www.co.jackson.tx.us,14591,Point(-96.58 28.94),Q110262
Texas,Trinity County,http://www.co.trinity.tx.us,14393,Point(-95.12 31.09),Q27009
Texas,Zapata County,http://www.co.zapata.tx.us,14390,Point(-99.18 27.0),Q109298
Texas,Newton County,http://www.co.newton.tx.us,14140,Point(-93.75 30.78),Q112565
Texas,Reeves County,http://www.reevescountytexas.net,13965,Point(-103.68 31.32),Q112550
Texas,Dawson County,http://www.co.dawson.tx.us,13810,Point(-101.95 32.74),Q110670
Texas,Madison County,http://www.co.madison.tx.us,13781,Point(-95.93 30.97),Q113117
Texas,Lamb County,http://co.lamb.tx.us,13775,Point(-102.35 34.07),Q112781
Texas,Callahan County,http://www.co.callahan.tx.us,13525,Point(-99.37 32.29),Q108827
Texas,Wilbarger County,http://www.co.wilbarger.tx.us/,13131,Point(-99.24 34.08),Q114339
Texas,Morris County,http://www.co.morris.tx.us,12834,Point(-94.73 33.12),Q156388
Texas,Terry County,http://www.co.terry.tx.us,12743,Point(-102.34 33.17),Q113864
Texas,Red River County,http://www.co.red-river.tx.us,12470,Point(-95.05 33.62),Q484570
Texas,Camp County,http://www.co.camp.tx.us,12413,Point(-94.98 32.97),Q108837
Texas,Zavala County,http://www.co.zavala.tx.us,12156,Point(-99.76 28.86),Q110407
Texas,Live Oak County,http://www.co.live-oak.tx.us,11867,Point(-98.13 28.35),Q114043
Texas,Duval County,http://www.duval-county.net,11640,Point(-98.52 27.68),Q27037
Texas,Ward County,http://www.co.ward.tx.us,11244,Point(-103.1 31.51),Q114301
Texas,Rains County,http://www.co.rains.tx.us/,11065,Point(-95.8 32.87),Q112698
Texas,Dimmit County,http://www.dimmitcounty.org,10897,Point(-99.75 28.42),Q26619
Texas,Ochiltree County,http://www.co.ochiltree.tx.us,10806,Point(-100.81 36.28),Q485920
Texas,Blanco County,http://www.co.blanco.tx.us,10723,Point(-98.4 30.27),Q26914
Texas,Franklin County,http://www.co.franklin.tx.us/,10660,Point(-95.22 33.18),Q110624
Texas,Clay County,http://www.co.clay.tx.us/,10473,Point(-98.21 33.79),Q109631
Texas,Sabine County,http://www.co.sabine.tx.us,10361,Point(-93.85 31.34),Q26889
Texas,Runnels County,http://www.co.runnels.tx.us,10309,Point(-99.97 31.83),Q112634
Texas,Marion County,http://www.co.marion.tx.us,10235,Point(-94.36 32.8),Q112125
Texas,Parmer County,http://www.co.parmer.tx.us/,9749,Point(-102.78 34.53),Q484521
Texas,Mitchell County,http://www.mitchellcountytexas.us/,9402,Point(-100.92 32.3),Q112442
Texas,Brewster County,http://www.co.brewster.tx.us,9286,Point(-103.2517 29.81185),Q109160
Texas,Stephens County,http://www.co.stephens.tx.us/,9247,Point(-98.84 32.74),Q114529
Texas,Jack County,http://www.jackcounty.org,8957,Point(-98.18 33.24),Q112673
Texas,San Augustine County,http://www.co.san-augustine.tx.us,8769,Point(-94.18 31.4),Q26744
Texas,Archer County,http://www.co.archer.tx.us,8681,Point(-98.69 33.61),Q108793
Texas,Somervell County,http://co.somervell.tx.us,8658,Point(-97.77 32.22),Q111844
Texas,Coleman County,http://www.co.coleman.tx.us,8543,Point(-99.45 31.77),Q109825
Texas,McCulloch County,http://www.co.mcculloch.tx.us,8330,Point(-99.35 31.2),Q112149
Texas,Hamilton County,http://www.co.hamilton.tx.us,8310,Point(-98.11 31.7),Q109308
Texas,Yoakum County,http://www.co.yoakum.tx.us,8184,Point(-102.82 33.18),Q112619
Texas,Castro County,http://www.co.castro.tx.us,8030,Point(-102.26 34.53),Q109830
Texas,Swisher County,http://www.co.swisher.tx.us/,7763,Point(-101.73 34.53),Q112882
Texas,Winkler County,http://www.co.winkler.tx.us/,7606,Point(-103.05 31.86),Q114479
Texas,Goliad County,http://www.co.goliad.tx.us,7465,Point(-97.43 28.65),Q27233
Texas,La Salle County,http://www.co.la-salle.tx.us/,7369,Point(-99.1 28.34),Q156440
Texas,Refugio County,http://www.co.refugio.tx.us,7305,Point(-97.17 28.32),Q26705
Texas,Brooks County,http://www.co.brooks.tx.us,7237,Point(-98.21 27.04),Q26584
Texas,Presidio County,http://www.co.presidio.tx.us,7201,Point(-104.23 30.0),Q113962
Texas,Bailey County,http://www.co.bailey.tx.us,7114,Point(-102.83 34.07),Q107973
Texas,Childress County,http://www.co.childress.tx.us,7095,Point(-100.2 34.54),Q109751
Texas,Dallam County,http://www.dallam.org,7057,Point(-102.59 36.29),Q109303
